Datei,Shot,Von,Nach,Delta
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035758_1ee7.json,8,3,1,2
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035758_1ee7.json,10,2,0,2
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035758_1ee7.json,11,0,3,3
quantum_log_Governance und Politik_act_nq4_20250418035758_d4f0.json,6,3,1,2
quantum_log_Governance und Politik_act_nq4_20250418035758_d4f0.json,7,1,3,2
quantum_log_Governance und Politik_act_nq4_20250418035758_d4f0.json,10,4,2,2
quantum_log_Governance und Politik_act_nq4_20250418035758_d4f0.json,14,1,4,3
quantum_log_Synergien und Integration_act_nq4_20250418035758_8748.json,4,2,0,2
quantum_log_Synergien und Integration_act_nq4_20250418035758_8748.json,6,0,3,3
quantum_log_Synergien und Integration_act_nq4_20250418035758_8748.json,9,2,0,2
quantum_log_Synergien und Integration_act_nq4_20250418035758_8748.json,10,0,3,3
quantum_log_Synergien und Integration_act_nq4_20250418035758_8748.json,13,4,1,3
quantum_log_Technologie und Innovation_act_nq4_20250418035758_8b00.json,3,3,0,3
quantum_log_Technologie und Innovation_act_nq4_20250418035758_8b00.json,4,0,3,3
quantum_log_Technologie und Innovation_act_nq4_20250418035758_8b00.json,6,4,0,4
quantum_log_Technologie und Innovation_act_nq4_20250418035758_8b00.json,7,0,2,2
quantum_log_Technologie und Innovation_act_nq4_20250418035758_8b00.json,12,3,0,3
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035758_210e.json,1,1,3,2
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035758_210e.json,2,3,0,3
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035758_210e.json,6,0,3,3
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035758_210e.json,11,4,1,3
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035758_210e.json,12,1,3,2
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035758_2018.json,1,4,0,4
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035758_2018.json,6,1,4,3
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035758_2018.json,7,4,2,2
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035758_2018.json,8,2,0,2
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035758_2018.json,9,0,2,2
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035758_2018.json,11,1,3,2
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035758_2018.json,12,3,1,2
quantum_log_Cortex Creativus_act_nq4_20250418035758_1fc9.json,5,1,3,2
quantum_log_Simulatrix Neuralis_act_nq4_20250418035758_51f2.json,9,1,3,2
quantum_log_Simulatrix Neuralis_act_nq4_20250418035758_51f2.json,14,1,4,3
quantum_log_Cortex Criticus_act_nq4_20250418035758_2460.json,9,1,3,2
quantum_log_Limbus Affektus_act_nq4_20250418035758_e3ba.json,5,3,1,2
quantum_log_Limbus Affektus_act_nq4_20250418035758_e3ba.json,9,2,0,2
quantum_log_Limbus Affektus_act_nq4_20250418035758_e3ba.json,14,1,4,3
quantum_log_Meta Cognitio_act_nq4_20250418035758_25d0.json,9,3,1,2
quantum_log_Meta Cognitio_act_nq4_20250418035758_25d0.json,10,1,3,2
quantum_log_Meta Cognitio_act_nq4_20250418035758_25d0.json,11,3,1,2
quantum_log_Cortex Socialis_act_nq4_20250418035758_722d.json,3,1,4,3
quantum_log_Cortex Socialis_act_nq4_20250418035758_722d.json,4,4,1,3
quantum_log_Cortex Socialis_act_nq4_20250418035758_722d.json,8,3,1,2
quantum_log_Cortex Socialis_act_nq4_20250418035758_722d.json,11,3,1,2
quantum_log_Cortex Socialis_act_nq4_20250418035758_722d.json,12,1,3,2
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035758_859b.json,3,1,3,2
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035758_859b.json,13,0,3,3
quantum_log_Ethik und Moral_act_nq4_20250418035758_6ecc.json,9,2,4,2
quantum_log_Ethik und Moral_act_nq4_20250418035758_6ecc.json,10,4,2,2
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035758_9e72.json,13,1,4,3
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035758_9e72.json,14,4,0,4
quantum_log_Governance und Politik_act_nq4_20250418035758_3b19.json,4,3,0,3
quantum_log_Governance und Politik_act_nq4_20250418035758_3b19.json,5,0,3,3
quantum_log_Synergien und Integration_act_nq4_20250418035759_c34d.json,6,1,3,2
quantum_log_Synergien und Integration_act_nq4_20250418035759_c34d.json,7,3,0,3
quantum_log_Synergien und Integration_act_nq4_20250418035759_c34d.json,11,2,0,2
quantum_log_Synergien und Integration_act_nq4_20250418035759_c34d.json,12,0,2,2
quantum_log_Technologie und Innovation_act_nq4_20250418035759_270e.json,8,0,3,3
quantum_log_Technologie und Innovation_act_nq4_20250418035759_270e.json,13,2,4,2
quantum_log_Technologie und Innovation_act_nq4_20250418035759_270e.json,14,4,0,4
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035759_3dab.json,1,1,3,2
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035759_3dab.json,2,3,0,3
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035759_3dab.json,3,0,3,3
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035759_3dab.json,4,3,1,2
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035759_3dab.json,6,1,3,2
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035759_3dab.json,7,3,0,3
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035759_3dab.json,9,0,3,3
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035759_3dab.json,10,3,1,2
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035759_a69d.json,1,0,2,2
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035759_a69d.json,3,2,0,2
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035759_a69d.json,5,0,2,2
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035759_a69d.json,7,3,1,2
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035759_a69d.json,10,0,4,4
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035759_a69d.json,11,4,2,2
quantum_log_Cortex Creativus_act_nq4_20250418035759_8de4.json,1,1,3,2
quantum_log_Cortex Creativus_act_nq4_20250418035759_8de4.json,5,3,0,3
quantum_log_Cortex Creativus_act_nq4_20250418035759_8de4.json,8,1,3,2
quantum_log_Cortex Creativus_act_nq4_20250418035759_8de4.json,10,2,0,2
quantum_log_Cortex Creativus_act_nq4_20250418035759_8de4.json,11,0,2,2
quantum_log_Cortex Creativus_act_nq4_20250418035759_8de4.json,13,3,1,2
quantum_log_Simulatrix Neuralis_act_nq4_20250418035759_ba3b.json,5,3,1,2
quantum_log_Simulatrix Neuralis_act_nq4_20250418035759_ba3b.json,13,2,4,2
quantum_log_Cortex Criticus_act_nq4_20250418035759_e67e.json,7,2,4,2
quantum_log_Cortex Criticus_act_nq4_20250418035759_e67e.json,9,3,1,2
quantum_log_Cortex Criticus_act_nq4_20250418035759_e67e.json,10,1,3,2
quantum_log_Limbus Affektus_act_nq4_20250418035759_9ce1.json,3,2,0,2
quantum_log_Limbus Affektus_act_nq4_20250418035759_9ce1.json,4,0,2,2
quantum_log_Limbus Affektus_act_nq4_20250418035759_9ce1.json,12,1,4,3
quantum_log_Limbus Affektus_act_nq4_20250418035759_9ce1.json,13,4,2,2
quantum_log_Meta Cognitio_act_nq4_20250418035759_207f.json,4,3,1,2
quantum_log_Meta Cognitio_act_nq4_20250418035759_207f.json,5,1,3,2
quantum_log_Cortex Socialis_act_nq4_20250418035759_413f.json,9,1,3,2
quantum_log_Cortex Socialis_act_nq4_20250418035759_413f.json,11,4,2,2
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035759_7719.json,9,3,1,2
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035759_7719.json,10,1,3,2
quantum_log_Ethik und Moral_act_nq4_20250418035759_912d.json,4,2,4,2
quantum_log_Ethik und Moral_act_nq4_20250418035759_912d.json,5,4,2,2
quantum_log_Ethik und Moral_act_nq4_20250418035759_912d.json,8,2,4,2
quantum_log_Ethik und Moral_act_nq4_20250418035759_912d.json,10,4,2,2
quantum_log_Governance und Politik_act_nq4_20250418035759_840d.json,5,2,4,2
quantum_log_Governance und Politik_act_nq4_20250418035759_840d.json,6,4,2,2
quantum_log_Governance und Politik_act_nq4_20250418035759_840d.json,11,3,1,2
quantum_log_Synergien und Integration_act_nq4_20250418035759_d747.json,2,2,0,2
quantum_log_Synergien und Integration_act_nq4_20250418035759_d747.json,3,0,3,3
quantum_log_Synergien und Integration_act_nq4_20250418035759_d747.json,4,3,0,3
quantum_log_Synergien und Integration_act_nq4_20250418035759_d747.json,5,0,3,3
quantum_log_Synergien und Integration_act_nq4_20250418035759_d747.json,13,3,1,2
quantum_log_Synergien und Integration_act_nq4_20250418035759_d747.json,14,1,3,2
quantum_log_Technologie und Innovation_act_nq4_20250418035759_aaa8.json,2,2,0,2
quantum_log_Technologie und Innovation_act_nq4_20250418035759_aaa8.json,4,1,3,2
quantum_log_Technologie und Innovation_act_nq4_20250418035759_aaa8.json,9,1,4,3
quantum_log_Technologie und Innovation_act_nq4_20250418035759_aaa8.json,14,1,4,3
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035759_3516.json,2,3,0,3
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035759_3516.json,3,0,2,2
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035759_3516.json,6,2,4,2
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035759_3516.json,7,4,1,3
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035759_3516.json,10,3,1,2
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035759_3ad7.json,3,1,3,2
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035759_3ad7.json,4,3,0,3
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035759_3ad7.json,5,0,3,3
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035759_3ad7.json,9,2,0,2
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035759_3ad7.json,10,0,4,4
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035759_3ad7.json,12,3,1,2
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035759_3ad7.json,14,1,3,2
quantum_log_Cortex Creativus_act_nq4_20250418035759_f0c9.json,4,3,0,3
quantum_log_Cortex Creativus_act_nq4_20250418035759_f0c9.json,6,0,2,2
quantum_log_Cortex Creativus_act_nq4_20250418035759_f0c9.json,12,0,4,4
quantum_log_Simulatrix Neuralis_act_nq4_20250418035759_7598.json,12,1,3,2
quantum_log_Simulatrix Neuralis_act_nq4_20250418035759_7598.json,13,3,1,2
quantum_log_Simulatrix Neuralis_act_nq4_20250418035759_7598.json,14,1,3,2
quantum_log_Limbus Affektus_act_nq4_20250418035759_1d68.json,1,3,0,3
quantum_log_Limbus Affektus_act_nq4_20250418035759_1d68.json,2,0,3,3
quantum_log_Limbus Affektus_act_nq4_20250418035759_1d68.json,4,3,1,2
quantum_log_Limbus Affektus_act_nq4_20250418035759_1d68.json,5,1,3,2
quantum_log_Limbus Affektus_act_nq4_20250418035759_1d68.json,6,3,1,2
quantum_log_Limbus Affektus_act_nq4_20250418035759_1d68.json,7,1,3,2
quantum_log_Meta Cognitio_act_nq4_20250418035759_ca59.json,1,3,1,2
quantum_log_Meta Cognitio_act_nq4_20250418035759_ca59.json,3,1,4,3
quantum_log_Meta Cognitio_act_nq4_20250418035759_ca59.json,4,4,2,2
quantum_log_Meta Cognitio_act_nq4_20250418035759_ca59.json,8,1,4,3
quantum_log_Meta Cognitio_act_nq4_20250418035759_ca59.json,9,4,0,4
quantum_log_Meta Cognitio_act_nq4_20250418035759_ca59.json,10,0,2,2
quantum_log_Cortex Socialis_act_nq4_20250418035759_84a7.json,2,1,3,2
quantum_log_Cortex Socialis_act_nq4_20250418035759_84a7.json,9,1,3,2
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035759_c0db.json,1,0,2,2
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035759_c0db.json,9,4,2,2
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035759_c0db.json,10,2,4,2
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035759_c0db.json,11,4,1,3
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035759_c0db.json,14,2,0,2
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035759_ae30.json,6,2,0,2
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035759_ae30.json,7,0,2,2
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035759_ae30.json,10,2,4,2
quantum_log_Governance und Politik_act_nq4_20250418035759_61ef.json,1,1,3,2
quantum_log_Governance und Politik_act_nq4_20250418035759_61ef.json,4,1,3,2
quantum_log_Governance und Politik_act_nq4_20250418035759_61ef.json,11,1,3,2
quantum_log_Synergien und Integration_act_nq4_20250418035759_4597.json,1,3,0,3
quantum_log_Synergien und Integration_act_nq4_20250418035759_4597.json,3,0,2,2
quantum_log_Synergien und Integration_act_nq4_20250418035759_4597.json,7,1,3,2
quantum_log_Synergien und Integration_act_nq4_20250418035759_4597.json,13,2,0,2
quantum_log_Synergien und Integration_act_nq4_20250418035759_4597.json,14,0,3,3
quantum_log_Technologie und Innovation_act_nq4_20250418035759_2bb0.json,4,3,0,3
quantum_log_Technologie und Innovation_act_nq4_20250418035759_2bb0.json,6,1,4,3
quantum_log_Technologie und Innovation_act_nq4_20250418035759_2bb0.json,7,4,0,4
quantum_log_Technologie und Innovation_act_nq4_20250418035759_2bb0.json,8,0,2,2
quantum_log_Technologie und Innovation_act_nq4_20250418035759_2bb0.json,10,3,1,2
quantum_log_Technologie und Innovation_act_nq4_20250418035759_2bb0.json,12,1,4,3
quantum_log_Technologie und Innovation_act_nq4_20250418035759_2bb0.json,13,4,0,4
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035800_7364.json,6,4,2,2
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035800_7364.json,13,3,0,3
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035800_7364.json,14,0,3,3
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035800_0eae.json,9,1,3,2
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035800_0eae.json,12,4,2,2
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035800_0eae.json,13,2,0,2
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035800_0eae.json,14,0,3,3
quantum_log_Cortex Creativus_act_nq4_20250418035800_763d.json,1,1,3,2
quantum_log_Cortex Creativus_act_nq4_20250418035800_763d.json,2,3,1,2
quantum_log_Cortex Creativus_act_nq4_20250418035800_763d.json,14,1,3,2
quantum_log_Simulatrix Neuralis_act_nq4_20250418035800_fe58.json,5,1,3,2
quantum_log_Simulatrix Neuralis_act_nq4_20250418035800_fe58.json,12,3,1,2
quantum_log_Cortex Criticus_act_nq4_20250418035800_a2c5.json,1,3,1,2
quantum_log_Cortex Criticus_act_nq4_20250418035800_a2c5.json,8,2,0,2
quantum_log_Limbus Affektus_act_nq4_20250418035800_3eca.json,1,1,3,2
quantum_log_Limbus Affektus_act_nq4_20250418035800_3eca.json,9,2,0,2
quantum_log_Limbus Affektus_act_nq4_20250418035800_3eca.json,10,0,3,3
quantum_log_Limbus Affektus_act_nq4_20250418035800_3eca.json,11,3,1,2
quantum_log_Meta Cognitio_act_nq4_20250418035800_9fda.json,4,2,4,2
quantum_log_Meta Cognitio_act_nq4_20250418035800_9fda.json,5,4,2,2
quantum_log_Meta Cognitio_act_nq4_20250418035800_9fda.json,9,2,4,2
quantum_log_Meta Cognitio_act_nq4_20250418035800_9fda.json,10,4,1,3
quantum_log_Meta Cognitio_act_nq4_20250418035800_9fda.json,11,1,4,3
quantum_log_Cortex Socialis_act_nq4_20250418035800_60ec.json,4,3,1,2
quantum_log_Cortex Socialis_act_nq4_20250418035800_60ec.json,5,1,3,2
quantum_log_Cortex Socialis_act_nq4_20250418035800_60ec.json,9,1,3,2
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035800_852c.json,1,1,3,2
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035800_852c.json,3,3,1,2
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035800_852c.json,8,0,2,2
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035800_852c.json,12,3,0,3
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035800_852c.json,13,0,2,2
quantum_log_Ethik und Moral_act_nq4_20250418035800_9aa5.json,1,4,2,2
quantum_log_Ethik und Moral_act_nq4_20250418035800_9aa5.json,5,1,3,2
quantum_log_Ethik und Moral_act_nq4_20250418035800_9aa5.json,7,3,1,2
quantum_log_Ethik und Moral_act_nq4_20250418035800_9aa5.json,8,1,3,2
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035800_3b40.json,7,2,0,2
quantum_log_Governance und Politik_act_nq4_20250418035800_3c2f.json,3,0,2,2
quantum_log_Governance und Politik_act_nq4_20250418035800_3c2f.json,9,3,1,2
quantum_log_Governance und Politik_act_nq4_20250418035800_3c2f.json,11,2,4,2
quantum_log_Governance und Politik_act_nq4_20250418035800_3c2f.json,12,4,2,2
quantum_log_Synergien und Integration_act_nq4_20250418035800_82f3.json,2,2,0,2
quantum_log_Synergien und Integration_act_nq4_20250418035800_82f3.json,8,0,2,2
quantum_log_Synergien und Integration_act_nq4_20250418035800_82f3.json,9,2,0,2
quantum_log_Synergien und Integration_act_nq4_20250418035800_82f3.json,13,1,3,2
quantum_log_Synergien und Integration_act_nq4_20250418035800_82f3.json,14,3,1,2
quantum_log_Technologie und Innovation_act_nq4_20250418035800_23bc.json,6,2,4,2
quantum_log_Technologie und Innovation_act_nq4_20250418035800_23bc.json,7,4,1,3
quantum_log_Technologie und Innovation_act_nq4_20250418035800_23bc.json,9,0,3,3
quantum_log_Technologie und Innovation_act_nq4_20250418035800_23bc.json,11,2,4,2
quantum_log_Technologie und Innovation_act_nq4_20250418035800_23bc.json,13,4,0,4
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035800_6f75.json,2,0,3,3
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035800_6f75.json,5,3,0,3
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035800_6f75.json,9,1,3,2
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035800_6f75.json,12,2,4,2
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035800_f69f.json,2,3,1,2
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035800_f69f.json,4,2,4,2
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035800_f69f.json,5,4,0,4
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035800_f69f.json,7,0,3,3
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035800_f69f.json,10,4,2,2
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035800_f69f.json,12,1,3,2
quantum_log_Cortex Creativus_act_nq4_20250418035800_06f6.json,2,3,1,2
quantum_log_Cortex Creativus_act_nq4_20250418035800_06f6.json,5,1,3,2
quantum_log_Cortex Creativus_act_nq4_20250418035800_06f6.json,7,3,0,3
quantum_log_Cortex Creativus_act_nq4_20250418035800_06f6.json,8,0,3,3
quantum_log_Cortex Creativus_act_nq4_20250418035800_06f6.json,14,2,0,2
quantum_log_Simulatrix Neuralis_act_nq4_20250418035800_45f3.json,8,3,1,2
quantum_log_Simulatrix Neuralis_act_nq4_20250418035800_45f3.json,9,1,3,2
quantum_log_Simulatrix Neuralis_act_nq4_20250418035800_45f3.json,12,1,3,2
quantum_log_Simulatrix Neuralis_act_nq4_20250418035800_45f3.json,14,4,1,3
quantum_log_Cortex Criticus_act_nq4_20250418035800_bc38.json,1,1,3,2
quantum_log_Cortex Criticus_act_nq4_20250418035800_bc38.json,5,2,4,2
quantum_log_Limbus Affektus_act_nq4_20250418035800_5135.json,5,2,4,2
quantum_log_Limbus Affektus_act_nq4_20250418035800_5135.json,6,4,2,2
quantum_log_Limbus Affektus_act_nq4_20250418035800_5135.json,7,2,0,2
quantum_log_Limbus Affektus_act_nq4_20250418035800_5135.json,8,0,2,2
quantum_log_Limbus Affektus_act_nq4_20250418035800_5135.json,14,2,0,2
quantum_log_Meta Cognitio_act_nq4_20250418035800_f066.json,2,1,3,2
quantum_log_Meta Cognitio_act_nq4_20250418035800_f066.json,6,3,1,2
quantum_log_Meta Cognitio_act_nq4_20250418035800_f066.json,13,0,4,4
quantum_log_Meta Cognitio_act_nq4_20250418035800_f066.json,14,4,2,2
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035800_1059.json,2,1,3,2
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035800_1059.json,4,3,1,2
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035800_1059.json,7,3,1,2
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035800_1059.json,13,2,4,2
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035800_1059.json,14,4,1,3
quantum_log_Ethik und Moral_act_nq4_20250418035800_04be.json,3,2,4,2
quantum_log_Ethik und Moral_act_nq4_20250418035800_04be.json,6,3,1,2
quantum_log_Ethik und Moral_act_nq4_20250418035800_04be.json,14,2,4,2
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035800_84d8.json,1,4,1,3
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035800_84d8.json,11,1,3,2
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035800_84d8.json,12,3,1,2
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035800_84d8.json,13,1,3,2
quantum_log_Governance und Politik_act_nq4_20250418035800_310e.json,6,0,4,4
quantum_log_Governance und Politik_act_nq4_20250418035800_310e.json,7,4,2,2
quantum_log_Governance und Politik_act_nq4_20250418035800_310e.json,12,4,1,3
quantum_log_Governance und Politik_act_nq4_20250418035800_310e.json,13,1,3,2
quantum_log_Synergien und Integration_act_nq4_20250418035800_eb8e.json,2,0,3,3
quantum_log_Synergien und Integration_act_nq4_20250418035800_eb8e.json,6,1,3,2
quantum_log_Synergien und Integration_act_nq4_20250418035800_eb8e.json,8,3,0,3
quantum_log_Synergien und Integration_act_nq4_20250418035800_eb8e.json,9,0,2,2
quantum_log_Synergien und Integration_act_nq4_20250418035800_eb8e.json,11,3,1,2
quantum_log_Synergien und Integration_act_nq4_20250418035800_eb8e.json,14,0,3,3
quantum_log_Technologie und Innovation_act_nq4_20250418035801_f518.json,1,0,4,4
quantum_log_Technologie und Innovation_act_nq4_20250418035801_f518.json,3,3,0,3
quantum_log_Technologie und Innovation_act_nq4_20250418035801_f518.json,4,0,2,2
quantum_log_Technologie und Innovation_act_nq4_20250418035801_f518.json,6,3,1,2
quantum_log_Technologie und Innovation_act_nq4_20250418035801_f518.json,9,3,0,3
quantum_log_Technologie und Innovation_act_nq4_20250418035801_f518.json,10,0,3,3
quantum_log_Technologie und Innovation_act_nq4_20250418035801_f518.json,12,4,0,4
quantum_log_Technologie und Innovation_act_nq4_20250418035801_f518.json,13,0,4,4
quantum_log_Technologie und Innovation_act_nq4_20250418035801_f518.json,14,4,2,2
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035801_582e.json,2,4,1,3
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035801_582e.json,5,1,4,3
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035801_582e.json,6,4,0,4
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035801_582e.json,8,0,2,2
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035801_582e.json,10,3,0,3
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035801_582e.json,12,1,3,2
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035801_582e.json,13,3,1,2
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035801_582e.json,14,1,3,2
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035801_51b6.json,3,0,3,3
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035801_51b6.json,4,3,0,3
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035801_51b6.json,6,0,2,2
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035801_51b6.json,8,2,0,2
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035801_51b6.json,9,0,2,2
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035801_51b6.json,10,2,4,2
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035801_51b6.json,12,4,1,3
quantum_log_Cortex Creativus_act_nq4_20250418035801_6758.json,8,1,4,3
quantum_log_Cortex Creativus_act_nq4_20250418035801_6758.json,9,4,2,2
quantum_log_Cortex Creativus_act_nq4_20250418035801_6758.json,11,1,3,2
quantum_log_Simulatrix Neuralis_act_nq4_20250418035801_72c9.json,1,1,3,2
quantum_log_Simulatrix Neuralis_act_nq4_20250418035801_72c9.json,3,4,1,3
quantum_log_Simulatrix Neuralis_act_nq4_20250418035801_72c9.json,4,1,3,2
quantum_log_Simulatrix Neuralis_act_nq4_20250418035801_72c9.json,6,2,4,2
quantum_log_Simulatrix Neuralis_act_nq4_20250418035801_72c9.json,13,3,1,2
quantum_log_Cortex Criticus_act_nq4_20250418035801_d22d.json,4,1,3,2
quantum_log_Limbus Affektus_act_nq4_20250418035801_af3a.json,1,4,2,2
quantum_log_Limbus Affektus_act_nq4_20250418035801_af3a.json,3,3,1,2
quantum_log_Limbus Affektus_act_nq4_20250418035801_af3a.json,5,0,4,4
quantum_log_Limbus Affektus_act_nq4_20250418035801_af3a.json,10,1,3,2
quantum_log_Limbus Affektus_act_nq4_20250418035801_af3a.json,14,3,1,2
quantum_log_Meta Cognitio_act_nq4_20250418035801_c386.json,1,2,4,2
quantum_log_Meta Cognitio_act_nq4_20250418035801_c386.json,2,4,1,3
quantum_log_Meta Cognitio_act_nq4_20250418035801_c386.json,3,1,3,2
quantum_log_Meta Cognitio_act_nq4_20250418035801_c386.json,7,1,3,2
quantum_log_Meta Cognitio_act_nq4_20250418035801_c386.json,11,2,0,2
quantum_log_Meta Cognitio_act_nq4_20250418035801_c386.json,13,1,3,2
quantum_log_Cortex Socialis_act_nq4_20250418035801_953d.json,4,2,0,2
quantum_log_Cortex Socialis_act_nq4_20250418035801_953d.json,5,0,3,3
quantum_log_Cortex Socialis_act_nq4_20250418035801_953d.json,12,3,1,2
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035801_48c6.json,1,2,0,2
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035801_48c6.json,2,0,2,2
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035801_48c6.json,11,1,3,2
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035801_48c6.json,13,2,0,2
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035801_48c6.json,14,0,2,2
quantum_log_Ethik und Moral_act_nq4_20250418035801_60ed.json,1,2,0,2
quantum_log_Ethik und Moral_act_nq4_20250418035801_60ed.json,2,0,3,3
quantum_log_Ethik und Moral_act_nq4_20250418035801_60ed.json,12,1,3,2
quantum_log_Governance und Politik_act_nq4_20250418035801_ca91.json,7,3,0,3
